Año de Publicación,,,Acceso Abierto,,,Tema Principal,,,Institución de Afiliación,,,Tipo,,
nombre,cantidad,,nombre,cantidad,,nombre,cantidad,,nombre,cantidad,,nombre,cantidad,
2021,9630,,No,77596,,Educación en salud y medicina,6177,,Universidad de La Habana,20365,,artículo,141316,
2020,8908,,Sí,72001,,Ciencias de plantas y suelos,3151,,Ministerio de Salud Pública,20144,,capítulo de libro,3030,
2018,8053,,,,,"Investigación en negocios, educación y matemáticas",2458,,Universidad de Ciencias Médicas de La Habana,9662,,preprint,1584,
2019,7870,,,,,Estudios de salud y estilo de vida,2284,,"Universidad Central ""Marta Abreu"" de las Villas (UCLV)",9352,,revisión,1101,
2015,7371,,,,,"Negocios, innovación y economía",1858,,"Hospital Oncológico Docente ""Conrado Benítez García""",8044,,paratexto,791,
2016,7178,,,,,Historia y sociedad cubana,1796,,Universidad de Camagüey,7173,,carta,420,
2017,7175,,,,,"Envejecimiento, salud y discapacidad",1512,,Universidad de Pinar del Río,6098,,conjunto de datos,341,
2014,6520,,,,,Estudios de producción agrícola y alimentaria,1490,,Instituto Superior Politécnico José Antonio Echeverría,5907,,libro,247,
2013,6028,,,,,Enseñanza y evaluación en educación superior,1250,,Universidad de Holguín,5868,,editorial,215,
2012,5330,,,,,Educación y formación docente,1105,,Universidad de Oriente,5122,,tesis,187,
2011,4968,,,,,Ética y bioética en la atención sanitaria,1099,,Universidad de Ciencias Médicas,4454,,otro,164,
2010,4686,,,,,Enfermedades transmitidas por mosquitos y su control,1014,,Universidad de Matanzas,4219,,informe,71,
2022,4482,,,,,Gestión organizacional e innovación,1012,,Universidad de Granma,3854,,errata,69,
2009,4223,,,,,Innovaciones educativas y tecnología,998,,Centro Nacional de Investigaciones Científicas,3725,,revisión por pares,48,
2023,4198,,,,,Estudios ambientales y ecológicos,934,,Universidad de Cienfuegos,3704,,entrada de referencia,12,
2008,3654,,,,,Investigación y tratamientos médicos,874,,Centro de Ingeniería Genética y Biotecnología,3464,,norma,1,
2025,3471,,,,,Ciencias sociales y políticas,860,,Instituto de Medicina Tropical “Pedro Kourí”,3353,,,,
2007,3405,,,,,Aprendizaje electrónico y gestión del conocimiento,855,,Centro Nacional de Información de Ciencias Médicas,3134,,,,
2006,3152,,,,,Salud pública y problemas ambientales,832,,Universidad de Las Tunas,3087,,,,
2024,3064,,,,,Investigación educativa y enseñanza de ciencias,801,,Hospital Hermanos Ameijeiras,3072,,,,
2005,2979,,,,,Estudios de deporte y educación física,790,,Centro Nacional de Sanidad Agropecuaria,2963,,,,
2004,2505,,,,,Salud y seguridad ocupacional en el trabajo,740,,Universidad de Ciencias Médicas de Cienfuegos,2823,,,,
2003,2350,,,,,Productos naturales e investigación biológica,737,,Universidad de Ciego de Ávila,2764,,,,
2002,2134,,,,,Desarrollo regional e innovación,697,,Instituto Nacional de Ciencias Agrícolas,2673,,,,
2001,2036,,,,,Educación superior y sostenibilidad,639,,Universidad de Guantánamo,2418,,,,
2000,1963,,,,,Alfabetización y prácticas educativas,612,,Centro de Neurociencias de Cuba,2289,,,,
1999,1796,,,,,Teorías y prácticas educativas,600,,"Instituto Nacional de Higiene, Epidemiología y Microbiología",2259,,,,
1998,1522,,,,,Cultivo e investigación del banano,534,,Centro de Aplicaciones Tecnológicas y Desarrollo Nuclear,2140,,,,
1987,1207,,,,,Sociedades del conocimiento en el siglo XXI,523,,Consejo Superior de Investigaciones Científicas,2123,,,,
1986,1184,,,,,Atención sanitaria materna y neonatal,500,,Universidad de las Ciencias Informáticas,2082,,,,
1997,1153,,,,,Lingüística española y estudios del lenguaje,495,,Instituto de Geofísica y Astronomía,2063,,,,
1996,1036,,,,,Cultivo de tejidos vegetales y regeneración,490,,"Ministerio de Ciencia, Tecnología y Medio Ambiente",2051,,,,
1981,1006,,,,,Gestión y calidad de los recursos hídricos,471,,Instituto de Hematología e Inmunología,2049,,,,
1993,988,,,,,"Estudios de empleo, trabajo y género",469,,Universidad Agraria de La Habana,2010,,,,
1983,978,,,,,Cultivo y procesamiento de caña de azúcar,467,,Universidad de Sancti Spíritus José Martí Pérez,1942,,,,
1988,977,,,,,Investigación sobre estrés y agotamiento profesional,464,,Instituto Finlay,1772,,,,
1989,970,,,,,Tecnología educativa en el aprendizaje,457,,Centro de Inmunología Molecular (Cuba),1727,,,,
1994,954,,,,,Patógenos vegetales y enfermedades fúngicas,453,,Instituto de Neurología y Neurocirugía,1697,,,,
1982,932,,,,,Contabilidad y gestión financiera,435,,Universidad Nacional Autónoma de México,1696,,,,
1990,913,,,,,Estudios históricos y socioeconómicos de España y regiones relacionadas,433,,Instituto de Investigaciones Avícolas,1637,,,,
1995,906,,,,,Ingeniería y tecnología de la información,419,,Organización Mundial de la Salud,1571,,,,
2026,856,,,,,Investigación botánica y sus aplicaciones,403,,Instituto de Cardiología y Cirugía Cardiovascular,1561,,,,
1984,827,,,,,Estudios geológicos y tectónicos en América Latina,383,,Instituto de Información Científica y Tecnológica,1492,,,,
1985,813,,,,,Investigación en psicología y bibliometría,358,,Instituto Superior de Tecnologías y Ciencias Aplicadas,1472,,,,
1992,688,,,,,Metodologías educativas y desarrollo cognitivo,356,,Organización Mundial de la Salud - Oficina Regional para las Américas,1463,,,,
1991,665,,,,,"Resultados cardíacos, anestésicos y quirúrgicos",349,,Instituto de Gastroenterología,1462,,,,
1980,624,,,,,Educación ambiental y de sostenibilidad,348,,Instituto de Oncología y Radiobiología,1407,,,,
1979,194,,,,,Producción de biocombustibles y bioconversión,335,,Organización Panamericana de la Salud (Cuba),1399,,,,
1978,96,,,,,Métodos computacionales para el descubrimiento de fármacos,334,,Universidad de São Paulo,1375,,,,
1977,72,,,,,Estudios jurídicos internacionales comparados,333,,Instituto de Nutrición e Higiene de los Alimentos,1373,,,,
1970,60,,,,,Estudios de publicidad y comunicación,323,,Instituto Politécnico Nacional,1370,,,,
1976,60,,,,,"Finanzas, tributación y gobernanza",308,,Escuela Latinoamericana de Medicina,1353,,,,
1975,41,,,,,"Salud, educación y cultura física",308,,Instituto de Investigaciones en Fruticultura Tropical,1326,,,,
1969,38,,,,,Infecciones bacterianas y vacunas,304,,Escuela Nacional de Salud Pública,1293,,,,
1973,28,,,,,Investigación médica y biológica sobre el ozono,303,,Centro Nacional de Investigación Científica (Francia),1292,,,,
1972,26,,,,,Cuidados e investigación en enfermería,300,,Universidad Pedagógica de Pinar del Río Rafael María de Mendive,1199,,,,
1974,26,,,,,"Estudios de urbanismo, paisaje y turismo",299,,Instituto de Cibernética Matemática y Física,1179,,,,
1971,25,,,,,Historia de los estudios de medicina y dermatología,296,,Instituto de Ecología y Sistemática,1097,,,,
1951,23,,,,,Neuropsicología del desarrollo y educativa,293,,Instituto Cubano de Investigaciones de los Derivados de la Caña de Azúcar,997,,,,
1944,22,,,,,Salud pública y desigualdades sociales,280,,Universidad de Moa,954,,,,
1950,21,,,,,Ciencia del suelo y gestión ambiental,278,,"Instituto Cubano de Oftalmología ""Ramón Pando Ferrer""",927,,,,
1959,21,,,,,Investigación sobre la planta de papa,276,,"Ministerio de Ciencia, Tecnología e Innovación",873,,,,
1968,20,,,,,Estudios de jurisprudencia constitucional comparada,276,,Consejo Nacional de Investigaciones Científicas y Técnicas,870,,,,
1946,19,,,,,Investigación y epidemiología de la tuberculosis,269,,Observatorio Geodésico Argentino-Alemán,870,,,,
